timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,360,19.41,-33.76,0.01,0.0,0.0,0.0,0
0.5,361,67.74,7.4,12.3,0.306,0.0,-0.001,0
0.5,362,60.17,-36.5,12.3,0.306,0.0,0.0,0
0.5,363,76.12,15.52,12.3,0.85,0.0,-0.001,0
0.5,364,55.35,-31.29,12.29,0.85,0.0,0.044,0
0.5,365,60.96,0.84,4.8,0.85,0.0,-0.001,0
0.5,366,32.42,-15.9,12.26,0.85,0.0,0.088,0
0.5,367,24.76,-28.76,12.3,0.85,0.0,0.028,0
0.5,368,11.47,-41.76,12.3,0.85,0.0,0.001,0
0.5,369,3.42,-50.51,12.3,0.85,0.0,0.003,0
0.5,370,-10.57,-66.71,12.3,0.85,0.0,-0.0,0
1.01,360,19.41,-33.76,0.0,0.0,0.0,0.0,0
1.01,361,66.42,6.13,11.64,0.333,0.0,0.0,0
1.01,362,58.61,-34.8,20.53,0.85,0.0,0.0,0
1.01,363,74.5,13.95,15.34,0.0,0.7,0.0,0
1.01,364,53.53,-29.49,23.7,0.85,0.0,0.052,0
1.01,365,60.27,0.18,8.99,0.85,0.0,-0.001,0
1.01,366,32.3,-13.36,23.45,0.85,0.0,0.207,0
1.01,367,26.63,-27.01,23.73,0.85,0.0,-0.004,0
1.01,368,12.89,-40.28,12.88,0.0,0.7,-0.016,0
1.01,369,4.98,-48.79,16.39,0.0,0.7,0.001,0
1.01,370,-8.93,-64.75,23.74,0.85,0.0,-0.0,0
1.51,360,19.41,-33.76,0.0,0.0,0.0,0.0,0
1.51,361,65.23,4.98,12.37,0.711,0.0,0.0,0
1.51,362,56.22,-32.26,29.36,0.052,0.0,0.024,0
1.51,363,73.23,12.73,11.91,0.378,0.0,0.0,0
1.51,364,50.61,-26.95,29.61,0.133,0.0,0.202,0
1.51,365,59.16,-0.89,13.12,0.85,0.0,0.0,0
1.51,366,31.3,-9.68,29.89,0.027,0.0,0.246,0
1.51,367,29.45,-24.34,29.58,0.144,0.0,0.0,0
