timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,384,39.92,37.9,0.04,0.0,0.0,0.0,0
0.5,385,46.68,69.46,0.04,0.85,0.0,0.001,0
0.5,386,75.86,34.21,10.61,0.85,0.0,0.003,0
0.5,387,47.03,30.37,0.04,0.85,0.0,0.0,0
0.5,388,45.81,36.72,10.61,0.85,0.0,0.052,0
0.5,389,43.22,5.1,10.61,0.85,0.0,0.028,0
0.5,390,34.8,48.39,10.18,0.85,0.0,-0.13,0
0.5,391,50.4,73.13,10.37,0.0,1.0,-0.001,0
0.5,392,27.8,62.19,10.59,0.85,0.0,0.099,0
0.5,393,16.05,67.72,10.61,0.85,0.0,0.033,0
0.5,394,-6.14,90.97,10.61,0.85,0.0,-0.0,0
1.0,384,39.92,37.9,0.0,0.0,0.0,0.0,0
1.0,385,46.68,69.46,0.0,0.85,0.0,0.001,0
1.0,386,74.35,32.59,20.84,0.85,0.0,-0.001,0
1.0,387,46.25,31.19,12.8,0.0,0.7,0.0,0
1.0,388,47.41,35.18,20.83,0.85,0.0,0.02,0
1.0,389,44.74,6.72,20.82,0.85,0.0,0.084,0
1.0,390,36.29,46.9,19.16,0.85,0.0,-0.054,0
1.0,391,49.57,72.31,5.0,0.0,1.0,0.0,0
1.0,392,30.0,62.4,20.68,0.85,0.0,0.198,0
1.0,393,17.59,66.12,20.84,0.85,0.0,0.012,0
1.0,394,-4.61,89.37,20.84,0.85,0.0,-0.001,0
1.5,384,39.92,37.9,0.0,0.0,0.0,0.0,0
1.5,385,46.68,69.46,0.0,0.85,0.0,0.001,0
1.5,386,71.93,30.0,29.69,0.182,0.0,-0.0,0
1.5,387,45.1,32.39,11.83,0.155,0.0,0.0,0
1.5,388,50.07,32.84,29.66,0.195,0.0,0.073,0
1.5,389,47.0,9.46,29.66,0.195,0.0,0.073,0
1.5,390,38.53,44.49,27.89,0.63,0.0,-0.012,0
1.5,391,49.4,72.14,0.0,0.0,1.0,-0.001,0
1.5,392,33.38,63.36,29.5,0.263,0.0,0.189,0
1.5,393,20.05,63.56,29.69,0.179,0.0,0.001,0
1.5,394,-2.15,86.8,29.69,0.178,0.0,0.001,0
2.0,384,39.92,37.9,0.0,0.0,0.0,0.0,0
2.0,385,46.68,69.46,0.0,0.85,0.0,0.001,0
2.0,386,69.14,27.03,29.09,0.371,0.0,0.0,0
2.0,387,44.06,33.47,7.96,0.0,1.0,0.0,0
2.0,388,53.4,30.52,29.03,0.405,0.0,0.164,0
2.0,389,49.24,12.84,29.03,0.404,0.0,0.154,0
2.0,390,41.19,41.63,26.51,0.348,0.0,0.003,0
2.0,391,49.4,72.14,0.0,0.0,1.0,0.0,0
2.0,392,36.91,65.32,29.1,0.361,0.0,0.198,0
2.0,393,22.88,60.63,29.1,0.37,0.0,-0.001,0
2.0,394,0.66,83.86,29.1,0.37,0.0,0.0,0
2.5,384,39.92,37.9,0.0,0.0,0.0,0.0,0
2.5,385,46.38,69.16,9.37,0.85,0.0,0.001,0
2.5,386,66.37,24.07,29.09,0.364,0.0,-0.001,0
2.5,387,43.66,33.9,0.0,0.0,1.0,0.0,0
2.5,388,57.15,29.06,29.04,0.38,0.0,0.294,0
2.5,389,50.68,16.61,29.04,0.384,0.0,0.234,0
2.5,390,43.7,38.97,27.44,0.85,0.0,0.001,0
2.5,391,49.4,72.14,0.0,0.0,1.0,-0.0,0
2.5,392,39.99,67.95,29.09,0.366,0.0,0.031,0
2.5,393,25.68,57.71,29.09,0.363,0.0,-0.001,0
2.5,394,3.46,80.93,29.09,0.363,0.0,0.001,0
3.01,384,39.92,37.9,0.0,0.0,0.0,0.0,0
3.01,385,45.36,68.13,11.14,0.85,0.0,0.003,0
