timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,165,68.52,10.72,0.03,0.0,0.0,0.0,0
0.5,166,41.77,72.42,10.59,0.85,0.0,0.0,0
0.5,167,38.4,79.28,10.59,0.85,0.0,-0.001,0
0.5,168,46.37,63.01,10.59,0.85,0.0,0.027,0
0.5,169,35.13,85.91,0.03,0.85,0.0,-0.0,0
0.5,170,30.39,31.7,0.03,0.85,0.0,-0.264,0
0.5,171,49.26,37.84,10.48,0.85,0.0,0.289,0
0.5,172,57.47,32.08,10.56,0.85,0.0,0.153,0
0.5,173,74.42,-1.83,0.03,0.85,0.0,-0.0,0
0.5,174,81.45,-16.11,10.59,0.85,0.0,0.001,0
1.0,165,68.52,10.72,0.0,0.0,0.0,0.0,0
1.0,166,42.68,70.56,18.45,0.85,0.0,0.0,0
1.0,167,39.27,77.49,16.15,0.85,0.0,-0.001,0
1.0,168,47.34,61.02,20.84,0.85,0.0,0.01,0
1.0,169,35.31,85.56,10.43,0.85,0.0,-0.001,0
1.0,170,30.39,31.7,0.0,0.85,0.0,-0.264,0
1.0,171,47.08,38.07,20.7,0.85,0.0,0.233,0
1.0,172,56.27,33.29,12.57,0.85,0.0,0.115,0
1.0,173,74.42,-1.83,0.0,0.85,0.0,0.001,0
1.0,174,80.47,-14.12,20.84,0.85,0.0,0.001,0
1.5,165,68.52,10.72,0.0,0.0,0.0,0.0,0
1.5,166,44.1,67.67,27.73,0.845,0.0,0.001,0
1.5,167,40.54,74.92,25.19,0.85,0.0,0.0,0
1.5,168,48.92,57.84,29.7,0.159,0.0,-0.001,0
1.5,169,36.28,83.59,20.7,0.85,0.0,0.0,0
1.5,170,30.39,31.7,0.0,0.85,0.0,-0.264,0
1.5,171,43.56,37.93,29.61,0.203,0.0,0.119,0
1.5,172,54.59,34.78,18.62,0.482,0.0,0.172,0
1.5,173,74.42,-1.83,0.0,0.85,0.0,0.001,0
1.5,174,78.94,-11.01,25.97,0.0,0.7,0.0,0
2.0,165,68.52,10.72,0.0,0.0,0.0,0.0,0
2.0,166,45.87,64.09,27.68,0.577,0.0,0.001,0
2.0,167,42.26,71.42,27.54,0.0,0.026,0.001,0
2.0,168,50.72,54.19,29.1,0.373,0.0,-0.001,0
2.0,169,37.83,80.43,28.79,0.0,0.477,0.0,0
2.0,170,30.39,31.7,0.0,0.85,0.0,-0.264,0
2.0,171,39.62,37.03,28.41,0.0,0.7,0.124,0
2.0,172,52.5,36.18,17.01,0.172,0.0,0.153,0
2.0,173,74.42,-1.83,0.0,0.85,0.0,0.001,0
2.0,174,77.59,-8.29,17.74,0.0,0.7,0.0,0
2.51,165,68.52,10.72,0.0,0.0,0.0,0.0,0
2.51,166,47.61,60.56,28.16,0.383,0.0,0.0,0
2.51,167,43.94,68.0,27.72,0.171,0.0,0.001,0
2.51,168,52.52,50.55,29.09,0.363,0.0,-0.001,0
2.51,169,39.48,77.07,27.23,0.268,0.0,0.0,0
2.51,170,29.95,31.6,9.35,0.85,0.0,-0.109,0
2.51,171,36.46,35.84,19.91,0.0,0.7,0.027,0
2.51,172,50.54,37.07,13.78,0.0,0.146,0.164,0
2.51,173,74.22,-1.42,9.4,0.85,0.0,0.001,0
2.51,174,76.72,-6.52,11.64,0.355,0.0,-0.001,0
3.01,165,68.52,10.72,0.0,0.0,0.0,0.0,0
3.01,166,49.34,57.04,28.25,0.352,0.0,0.0,0
3.01,167,45.62,64.58,27.55,0.295,0.0,0.0,0
3.01,168,54.31,46.92,29.1,0.359,0.0,0.0,0
3.01,169,41.12,73.74,26.76,0.367,0.0,0.001,0
3.01,170,28.53,31.29,11.15,0.85,0.0,-0.01,0
3.01,171,34.4,34.99,12.42,0.0,0.587,0.022,0
3.01,172,48.92,37.57,11.89,0.117,0.0,0.22,0
3.01,173,73.58,-0.12,11.15,0.85,0.0,-0.0,0
3.01,174,76.0,-5.05,11.84,0.165,0.0,0.0,0
3.51,165,68.52,10.72,0.0,0.0,0.0,0.0,0
3.51,166,51.07,53.51,28.25,0.351,0.0,0.0,0
3.51,167,47.31,61.15,27.46,0.336,0.0,0.0,0
3.51,168,56.1,43.29,29.1,0.359,0.0,0.0,0
3.51,169,42.76,70.4,26.65,0.361,0.0,0.0,0
3.51,170,26.99,30.83,11.87,0.85,0.0,0.017,0
3.51,171,32.89,34.34,11.77,0.228,0.0,0.011,0
3.51,172,47.25,37.84,14.01,0.85,0.0,0.185,0
3.51,173,72.87,1.32,11.87,0.85,0.0,-0.001,0
3.51,174,75.27,-3.57,11.82,0.182,0.0,0.0,0
4.01,165,68.52,10.72,0.0,0.0,0.0,0.0,0
4.01,166,52.81,49.97,28.25,0.351,0.0,0.0,0
4.01,167,49.0,57.71,27.44,0.344,0.0,0.0,0
4.01,168,57.9,39.64,29.1,0.359,0.0,0.0,0
4.01,169,44.4,67.06,26.66,0.347,0.0,0.0,0
4.01,170,25.41,30.31,11.82,0.85,0.0,0.001,0
4.01,171,31.38,33.67,11.82,0.176,0.0,0.008,0
4.01,172,44.7,37.92,20.4,0.0,0.7,0.193,0
4.01,173,72.13,2.82,11.82,0.85,0.0,0.0,0
4.01,174,74.54,-2.09,11.81,0.196,0.0,0.0,0
4.51,165,68.52,10.72,0.0,0.0,0.0,0.0,0
4.51,166,54.55,46.43,28.25,0.351,0.0,0.0,0
4.51,167,50.69,54.28,27.44,0.344,0.0,0.0,0
4.51,168,59.69,36.0,29.1,0.359,0.0,-0.0,0
4.51,169,46.05,63.72,26.67,0.34,0.0,0.0,0
4.51,170,23.82,29.78,12.71,0.85,0.0,0.0,0
4.51,171,29.86,33.01,12.33,0.334,0.0,0.004,0
4.51,172,42.38,37.66,13.19,0.0,0.7,0.162,0
4.51,173,71.42,4.26,11.39,0.607,0.0,0.0,0
4.51,174,73.81,-0.61,11.82,0.179,0.0,0.0,0
5.01,165,68.52,10.72,0.0,0.0,0.0,0.0,0
5.01,166,56.29,42.9,28.25,0.351,0.0,0.0,0
5.01,167,52.38,50.85,27.44,0.344,0.0,0.0,0
5.01,168,61.48,32.36,29.1,0.359,0.0,0.0,0
5.01,169,47.69,60.39,26.67,0.338,0.0,0.0,0
5.01,170,22.09,29.13,13.74,0.85,0.0,0.005,0
5.01,171,28.21,32.27,13.46,0.234,0.0,0.002,0
5.01,172,40.7,37.25,12.85,0.269,0.0,0.122,0
5.01,173,70.72,5.68,11.34,0.656,0.0,0.0,0
5.01,174,73.15,0.73,10.7,0.85,0.0,-0.001,0
5.51,165,68.52,10.72,0.0,0.0,0.0,0.0,0
5.51,166,58.03,39.37,28.25,0.351,0.0,0.0,0
5.51,167,54.06,47.43,27.44,0.344,0.0,0.0,0
5.51,168,63.27,28.73,29.1,0.359,0.0,0.0,0
5.51,169,49.33,57.06,26.67,0.338,0.0,0.0,0
5.51,170,20.27,28.42,14.21,0.85,0.0,0.001,0
5.51,171,26.46,31.5,13.93,0.227,0.0,0.002,0
5.51,172,38.95,36.68,13.55,0.235,0.0,0.087,0
5.51,173,70.54,6.05,0.02,0.0,1.0,0.0,0
5.51,174,72.47,2.13,8.28,0.0,1.0,0.0,0
6.01,165,68.52,10.72,0.0,0.0,0.0,0.0,0
6.01,166,59.76,35.85,28.25,0.351,0.0,0.0,0
6.01,167,55.75,44.0,27.44,0.344,0.0,0.001,0
6.01,168,65.05,25.1,29.1,0.359,0.0,0.0,0
6.01,169,50.96,53.73,26.67,0.338,0.0,0.0,0
6.01,170,18.43,27.69,14.05,0.85,0.0,0.013,0
6.01,171,24.68,30.71,13.82,0.188,0.0,-0.0,0
6.01,172,37.16,36.03,13.62,0.126,0.0,0.038,0
6.01,173,70.54,6.05,0.0,0.0,1.0,0.0,0
6.01,174,72.19,2.7,0.0,0.0,1.0,0.0,0
6.52,165,68.52,10.72,0.0,0.0,0.0,0.0,0
6.52,166,61.5,32.32,28.25,0.351,0.0,0.0,0
6.52,167,57.44,40.57,27.44,0.344,0.0,0.0,0
6.52,168,66.84,21.46,29.1,0.359,0.0,0.0,0
6.52,169,52.6,50.4,26.67,0.338,0.0,0.0,0
6.52,170,16.62,26.93,14.72,0.85,0.0,0.0,0
6.52,171,22.93,29.93,14.38,0.294,0.0,0.001,0
6.52,172,35.42,35.35,13.76,0.53,0.0,0.048,0
6.52,173,70.54,6.05,0.0,0.0,1.0,0.0,0
6.52,174,72.19,2.7,0.0,0.0,1.0,0.0,0
7.02,165,68.52,10.72,0.0,0.0,0.0,0.0,0
