timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,31,187.95,-316.61,13.52,0.85,0.0,0.002,0
0.5,32,160.95,-322.54,24.27,0.85,0.0,0.13,0
0.5,33,151.04,-420.59,13.24,0.85,0.0,0.0,0
0.5,34,149.61,-411.33,12.39,0.85,0.0,-0.015,0
0.5,35,196.83,-340.44,2.14,0.85,0.0,0.069,0
0.5,39,171.17,-323.43,5.08,0.85,0.0,0.184,0
0.5,37,199.24,-379.96,27.59,0.85,0.0,-0.142,0
0.5,38,158.14,-337.65,8.11,0.85,0.0,-0.163,0
0.5,40,182.3,-390.01,29.63,0.214,0.0,-0.156,0
0.5,41,174.1,-396.37,0.11,0.85,0.0,0.066,1
0.5,42,165.3,-393.76,0.21,0.85,0.0,-0.167,1
0.5,43,180.71,-340.87,21.45,0.85,0.0,0.0,0
0.5,44,172.3,-374.97,3.11,0.85,0.0,0.05,0
0.5,45,193.85,-340.71,21.07,0.85,0.0,0.035,0
0.5,46,187.25,-339.26,23.4,0.85,0.0,0.0,0
0.5,47,206.0,-319.34,14.11,0.85,0.0,-0.129,0
0.5,48,163.26,-334.78,18.88,0.0,0.7,-0.142,0
0.5,49,172.71,-326.53,6.98,0.85,0.0,0.084,0
0.5,50,111.39,-472.28,0.5,0.85,0.0,0.008,0
0.5,54,118.24,-143.74,0.79,0.85,0.0,-0.001,1
0.5,52,68.95,-516.45,3.19,0.85,0.0,0.0,1
0.5,53,168.49,-376.45,1.14,0.85,0.0,-0.026,0
0.5,55,178.86,-325.14,8.38,0.85,0.0,-0.087,0
0.5,56,-1.69,-418.19,0.61,0.85,0.0,0.0,1
0.5,57,196.22,-318.48,10.11,0.85,0.0,-0.118,0
0.5,58,207.07,-393.36,9.33,0.85,0.0,-0.006,0
0.5,59,235.27,-468.36,2.25,0.85,0.0,0.342,0
0.5,60,230.16,-431.56,6.68,0.85,0.0,0.0,0
0.5,61,339.8,-777.13,1.27,0.85,0.0,0.007,1
0.5,62,171.05,-395.17,0.01,0.0,1.0,-0.8,0
0.5,63,239.77,-467.69,0.05,0.85,0.0,-0.001,0
0.5,64,171.7,-310.71,23.08,0.85,0.0,-0.005,0
0.5,65,14.64,-415.86,5.36,0.85,0.0,0.0,0
0.5,66,186.49,-346.97,0.01,0.85,0.0,0.0,0
0.5,67,249.86,-509.58,9.63,0.85,0.0,-0.001,0
0.5,68,196.54,-315.02,7.84,0.85,0.0,-0.095,0
0.5,69,188.13,-325.87,20.11,0.0,1.0,-0.253,0
0.5,70,200.11,-393.9,16.62,0.85,0.0,0.0,0
0.5,71,346.08,-774.78,0.03,0.85,0.0,0.003,1
0.5,72,217.63,-430.97,6.66,0.85,0.0,0.002,0
0.5,73,207.62,-360.51,11.62,0.85,0.0,0.0,0
0.5,74,207.06,-382.53,0.78,0.85,0.0,-0.8,1
1.01,31,188.71,-318.5,16.44,0.85,0.0,0.024,0
1.01,32,159.79,-318.92,29.36,0.331,0.0,0.023,0
1.01,33,149.84,-422.2,15.43,0.85,0.0,0.0,0
1.01,34,150.81,-409.76,15.74,0.85,0.0,-0.01,0
1.01,35,196.93,-340.75,2.69,0.85,0.0,0.329,0
1.01,39,171.81,-322.91,5.88,0.85,0.0,0.22,0
1.01,37,197.42,-376.29,30.27,0.0,0.128,-0.036,0
1.01,38,158.59,-336.49,9.7,0.85,0.0,-0.079,0
1.01,40,178.67,-388.6,25.33,0.0,0.7,-0.035,0
1.01,41,174.09,-396.37,0.05,0.85,0.0,0.064,1
1.01,42,165.3,-393.76,0.02,0.85,0.0,-0.168,1
1.01,43,179.6,-337.83,23.5,0.0,0.7,0.0,0
1.01,44,172.14,-374.33,6.48,0.85,0.0,0.041,0
1.01,45,194.77,-343.81,24.87,0.85,0.0,0.036,0
1.01,46,186.04,-335.94,26.27,0.0,0.7,0.0,0
1.01,47,207.93,-320.41,17.46,0.85,0.0,-0.17,0
1.01,48,164.4,-332.88,13.22,0.0,0.7,-0.057,0
1.01,49,173.6,-325.89,8.04,0.0,1.0,0.107,0
1.01,50,111.34,-472.35,1.06,0.85,0.0,0.006,0
1.01,54,118.24,-143.75,0.26,0.85,0.0,0.0,1
1.01,52,68.95,-516.45,2.26,0.85,0.0,-0.001,1
1.01,53,168.33,-376.03,4.8,0.85,0.0,0.003,0
1.01,55,178.62,-323.86,10.12,0.85,0.0,-0.048,0
1.01,56,-1.69,-418.19,0.6,0.85,0.0,0.001,1
1.01,57,197.84,-318.26,12.37,0.535,0.0,-0.174,0
1.01,58,206.48,-391.86,11.63,0.688,0.0,-0.004,0
1.01,59,235.23,-468.04,2.39,0.85,0.0,0.24,0
1.01,60,230.51,-432.53,8.16,0.85,0.0,0.0,0
1.01,61,339.79,-777.11,0.65,0.85,0.0,0.008,1
1.01,62,171.05,-395.17,0.0,0.0,1.0,-0.8,0
1.01,63,239.91,-467.95,3.57,0.85,0.0,-0.016,0
1.01,64,170.55,-307.28,28.57,0.822,0.0,-0.0,0
1.01,65,15.43,-415.57,6.47,0.85,0.0,0.0,0
1.01,66,186.29,-346.41,10.23,0.85,0.0,0.0,0
1.01,67,249.35,-508.17,11.83,0.85,0.0,0.0,0
1.01,68,197.76,-314.9,9.7,0.85,0.0,-0.113,0
1.01,69,189.41,-328.07,16.42,0.0,1.0,-0.082,0
1.01,70,199.19,-391.45,19.76,0.85,0.0,-0.007,0
1.01,71,346.07,-774.75,1.53,0.85,0.0,0.003,1
1.01,72,217.26,-429.97,8.58,0.85,0.0,0.001,0
1.01,73,208.24,-362.23,14.57,0.85,0.0,-0.001,0
1.01,74,207.0,-382.59,0.34,0.85,0.0,-0.8,1
1.51,31,189.66,-320.76,18.61,0.85,0.0,0.005,0
1.51,32,158.4,-315.16,28.78,0.482,0.0,-0.0,0
1.51,33,148.46,-424.06,17.9,0.85,0.0,0.0,0
1.51,34,152.29,-407.85,19.03,0.85,0.0,-0.007,0
1.51,35,197.04,-341.11,2.89,0.85,0.0,0.294,0
1.51,39,172.35,-322.29,6.57,0.85,0.0,0.21,0
1.51,37,195.92,-372.58,28.81,0.505,0.0,-0.013,0
1.51,38,159.15,-335.13,11.39,0.85,0.0,-0.032,0
1.51,40,176.01,-387.02,21.16,0.85,0.0,-0.279,0
1.51,41,174.09,-396.37,0.01,0.85,0.0,0.066,1
1.51,42,165.3,-393.76,0.03,0.85,0.0,-0.167,1
1.51,43,178.59,-335.04,19.29,0.0,0.7,0.0,0
1.51,44,171.82,-373.29,9.23,0.85,0.0,-0.013,0
1.51,45,195.91,-347.34,28.58,0.625,0.0,0.023,0
1.51,46,184.96,-332.96,19.38,0.0,0.7,-0.0,0
1.51,47,209.98,-322.05,20.36,0.85,0.0,-0.141,0
1.51,48,165.39,-331.54,11.89,0.168,0.0,-0.216,0
1.51,49,174.32,-325.29,5.44,0.0,1.0,0.152,0
1.51,50,111.24,-472.48,1.39,0.85,0.0,0.034,0
1.51,54,118.24,-143.73,0.09,0.85,0.0,0.0,1
1.51,52,69.0,-516.38,1.92,0.85,0.0,-0.001,1
1.51,53,168.07,-375.18,7.99,0.85,0.0,0.004,0
1.51,55,178.35,-322.36,11.82,0.85,0.0,0.034,0
1.51,56,-1.69,-418.19,0.25,0.85,0.0,0.001,1
1.51,57,199.68,-318.19,13.57,0.508,0.0,-0.135,0
1.51,58,205.9,-390.33,11.44,0.515,0.0,-0.011,0
1.51,59,235.15,-467.69,2.69,0.85,0.0,0.034,0
1.51,60,230.94,-433.7,9.71,0.85,0.0,0.0,0
1.51,61,339.79,-777.11,0.59,0.85,0.0,0.008,1
1.51,62,171.05,-395.17,0.0,0.0,1.0,-0.8,0
1.51,63,240.17,-468.63,6.92,0.85,0.0,-0.029,0
1.51,64,169.25,-303.41,28.96,0.388,0.0,0.0,0
1.51,65,16.34,-415.24,7.49,0.85,0.0,0.0,0
1.51,66,185.7,-344.81,13.94,0.85,0.0,-0.001,0
1.51,67,248.73,-506.48,13.97,0.85,0.0,-0.001,0
1.51,68,199.26,-314.82,11.94,0.85,0.0,-0.095,0
1.51,69,190.31,-329.81,11.89,0.0,1.0,0.115,0
1.51,70,198.16,-388.72,22.94,0.85,0.0,-0.001,0
1.51,71,346.06,-774.74,0.54,0.85,0.0,0.003,1
1.51,72,216.81,-428.74,10.29,0.85,0.0,0.0,0
1.51,73,209.0,-364.38,18.31,0.85,0.0,-0.001,0
1.51,74,207.01,-382.59,0.03,0.85,0.0,-0.8,1
2.01,31,190.88,-323.4,22.09,0.85,0.0,0.014,0
2.01,32,156.98,-311.35,28.99,0.403,0.0,-0.001,0
2.01,33,146.85,-426.23,20.58,0.85,0.0,0.0,0
2.01,34,154.05,-405.57,21.93,0.85,0.0,-0.004,0
2.01,35,197.17,-341.53,3.24,0.85,0.0,0.089,0
2.01,39,172.9,-321.42,7.43,0.85,0.0,0.211,0
2.01,37,194.47,-368.76,28.97,0.405,0.0,-0.006,0
2.01,38,159.82,-333.55,12.94,0.85,0.0,-0.014,0
2.01,40,173.68,-384.91,25.08,0.0,0.7,-0.068,0
2.01,41,174.09,-396.37,0.02,0.85,0.0,0.067,1
2.01,42,165.3,-393.76,0.03,0.85,0.0,-0.164,1
2.01,43,177.79,-332.78,14.89,0.0,0.7,-0.024,0
2.01,44,171.38,-372.04,9.95,0.85,0.0,0.008,0
2.01,45,197.24,-351.25,29.54,0.172,0.0,0.012,0
2.01,46,184.23,-330.65,16.66,0.85,0.0,-0.296,0
2.01,47,211.96,-324.37,22.99,0.85,0.0,-0.194,0
2.01,48,166.58,-330.42,11.82,0.249,0.0,-0.249,0
2.01,49,174.66,-324.98,1.54,0.0,1.0,0.189,0
2.01,50,111.15,-472.67,1.65,0.85,0.0,-0.02,0
2.01,54,118.24,-143.74,0.14,0.85,0.0,-0.0,1
2.01,52,69.02,-516.35,0.37,0.85,0.0,-0.001,1
2.01,53,167.7,-373.97,10.09,0.85,0.0,0.001,0
2.01,55,177.97,-320.62,13.53,0.85,0.0,0.014,0
2.01,56,-1.69,-418.19,0.03,0.85,0.0,0.001,1
2.01,57,201.65,-318.27,13.95,0.0,0.181,-0.133,0
2.01,58,205.36,-388.88,11.14,0.0,1.0,-0.004,0
2.01,59,235.08,-467.29,3.12,0.85,0.0,-0.012,0
2.01,60,231.44,-435.1,11.41,0.85,0.0,0.0,0
2.01,61,339.79,-777.13,0.49,0.85,0.0,0.007,1
2.01,62,171.05,-395.17,0.0,0.0,1.0,-0.8,0
2.01,63,240.6,-469.71,9.75,0.85,0.0,-0.0,0
2.01,64,167.96,-299.54,29.12,0.356,0.0,0.0,0
2.01,65,17.41,-414.85,8.87,0.85,0.0,0.0,0
2.01,66,184.95,-342.74,17.27,0.85,0.0,0.0,0
2.01,67,248.01,-504.48,16.25,0.85,0.0,0.0,0
2.01,68,201.13,-314.85,14.66,0.85,0.0,-0.097,0
2.01,69,191.03,-330.97,7.68,0.0,1.0,0.07,0
2.01,70,196.91,-385.34,27.38,0.85,0.0,-0.005,0
2.01,71,346.07,-774.76,0.75,0.85,0.0,0.003,1
2.01,72,216.27,-427.27,11.95,0.85,0.0,0.0,0
2.01,73,209.97,-367.11,22.86,0.85,0.0,0.0,0
2.01,74,207.02,-382.59,0.05,0.85,0.0,-0.8,1
2.52,31,192.3,-326.3,24.29,0.85,0.0,0.005,0
2.52,32,155.57,-307.57,28.93,0.427,0.0,0.0,0
2.52,33,144.96,-428.76,24.65,0.85,0.0,-0.001,0
2.52,34,155.94,-403.14,20.47,0.0,0.7,-0.002,0
2.52,35,197.31,-341.99,3.69,0.85,0.0,0.002,0
2.52,39,173.13,-320.45,7.48,0.85,0.0,0.252,0
2.52,37,193.06,-364.97,29.01,0.397,0.0,-0.004,0
2.52,38,160.61,-331.71,15.51,0.85,0.0,-0.004,0
2.52,40,171.57,-382.35,21.36,0.0,0.7,-0.234,0
2.52,41,174.09,-396.38,0.05,0.85,0.0,0.067,1
2.52,42,165.3,-393.76,0.04,0.85,0.0,-0.165,1
2.52,43,177.22,-331.09,10.62,0.0,1.0,-0.014,0
2.52,44,170.84,-370.65,11.3,0.85,0.0,-0.001,0
2.52,45,198.59,-355.11,29.26,0.299,0.0,0.003,0
2.52,46,183.97,-327.98,20.53,0.85,0.0,-0.082,0
2.52,47,213.51,-327.4,26.18,0.85,0.0,-0.088,0
2.52,48,167.9,-329.48,11.58,0.472,0.0,-0.265,0
2.52,49,174.65,-324.98,0.53,0.0,1.0,0.186,0
2.52,50,110.97,-472.84,1.82,0.85,0.0,-0.059,0
2.52,54,118.24,-143.74,0.04,0.85,0.0,-0.001,1
2.52,52,69.01,-516.36,1.41,0.85,0.0,-0.001,1
2.52,53,167.29,-372.61,10.59,0.85,0.0,0.001,0
2.52,55,177.49,-318.68,15.2,0.85,0.0,0.046,0
2.52,56,-1.69,-418.19,0.03,0.85,0.0,0.001,1
2.52,57,203.44,-318.55,12.59,0.58,0.0,-0.164,0
2.52,58,204.92,-387.68,7.62,0.0,1.0,-0.002,0
2.52,59,234.94,-466.85,3.55,0.85,0.0,-0.003,0
2.52,60,232.03,-436.71,12.96,0.85,0.0,0.0,0
2.52,61,339.79,-777.12,0.57,0.85,0.0,0.008,1
2.52,62,171.05,-395.17,0.0,0.0,1.0,-0.8,0
2.52,63,241.08,-470.98,10.26,0.85,0.0,-0.008,0
2.52,64,166.68,-295.7,29.01,0.394,0.0,-0.0,0
2.52,65,18.73,-414.38,11.25,0.85,0.0,0.0,0
2.52,66,184.07,-340.31,18.5,0.0,0.7,0.0,0
2.52,67,247.18,-502.19,18.73,0.85,0.0,0.0,0
2.52,68,203.34,-315.11,17.33,0.85,0.0,-0.12,0
2.52,69,191.39,-331.53,0.16,0.0,1.0,0.051,0
2.52,70,195.55,-381.64,29.08,0.365,0.0,0.0,0
2.52,71,346.07,-774.76,0.89,0.85,0.0,0.003,1
2.52,72,215.66,-425.6,13.54,0.85,0.0,0.0,0
2.52,73,211.16,-370.46,28.07,0.85,0.0,-0.001,0
2.52,74,207.03,-382.59,0.1,0.85,0.0,-0.8,1
3.02,31,193.95,-329.41,26.23,0.85,0.0,0.109,0
3.02,32,154.17,-303.79,28.94,0.422,0.0,0.0,0
3.02,33,142.78,-431.69,27.69,0.85,0.0,0.0,0
3.02,34,157.48,-401.15,15.78,0.0,0.7,-0.001,0
3.02,35,197.48,-342.51,4.14,0.85,0.0,-0.021,0
3.02,39,173.29,-319.28,8.55,0.85,0.0,0.344,0
3.02,37,191.67,-361.18,28.99,0.405,0.0,-0.001,0
