timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,144,-26.06,57.24,0.02,0.0,0.0,0.0,0
0.5,145,-13.67,83.82,12.47,0.85,0.0,-0.027,0
0.5,146,0.03,43.91,12.47,0.85,0.0,0.045,0
0.5,147,-39.2,51.21,12.48,0.85,0.0,-0.001,0
0.5,148,-19.0,59.7,12.46,0.85,0.0,-0.092,0
0.5,149,-67.29,38.19,0.02,0.0,1.0,-0.001,0
0.5,150,-75.74,34.27,12.42,0.0,0.132,0.0,0
0.5,151,-60.99,41.11,12.48,0.85,0.0,-0.0,0
1.0,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
1.0,145,-12.78,81.55,22.34,0.85,0.0,-0.054,0
1.0,146,-1.08,46.08,22.34,0.85,0.0,0.058,0
1.0,147,-37.0,52.23,20.35,0.0,0.7,-0.001,0
1.0,148,-16.59,59.98,22.31,0.85,0.0,-0.095,0
1.0,149,-67.29,38.19,1.06,0.85,0.0,-0.001,0
1.0,150,-74.2,34.99,11.87,0.136,0.0,0.0,0
1.0,151,-58.77,42.13,22.36,0.85,0.0,0.0,0
1.5,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
1.5,145,-11.64,78.01,29.82,0.066,0.0,-0.082,0
1.5,146,-2.95,49.3,29.85,0.056,0.0,0.056,0
1.5,147,-34.86,53.21,13.42,0.0,0.7,0.001,0
1.5,148,-12.88,59.99,29.8,0.075,0.0,-0.154,0
1.5,149,-65.93,38.82,16.6,0.85,0.0,-0.001,0
1.5,150,-72.69,35.69,13.52,0.85,0.0,0.0,0
1.5,151,-55.4,43.7,29.84,0.058,0.0,0.0,0
2.0,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
2.0,145,-10.97,74.31,22.92,0.0,0.7,-0.117,0
2.0,146,-5.41,52.5,29.13,0.35,0.0,0.192,0
2.0,147,-33.35,53.91,11.81,0.174,0.0,-0.0,0
2.0,148,-8.93,59.14,29.14,0.344,0.0,-0.228,0
2.0,149,-63.23,40.07,26.12,0.85,0.0,0.0,0
2.0,150,-70.39,36.75,22.88,0.85,0.0,0.0,0
2.0,151,-51.71,45.4,29.16,0.337,0.0,0.001,0
2.5,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
2.5,145,-10.94,71.71,14.83,0.0,0.7,-0.125,0
2.5,146,-8.56,55.0,28.95,0.424,0.0,0.25,0
2.5,147,-31.89,54.59,9.98,0.0,1.0,0.0,0
2.5,148,-5.37,57.27,29.05,0.383,0.0,-0.194,0
2.5,149,-59.66,41.72,28.01,0.452,0.0,0.0,0
2.5,150,-67.01,38.32,27.94,0.0,0.003,0.0,0
2.5,151,-48.04,47.1,29.11,0.358,0.0,0.001,0
3.0,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
3.0,145,-11.1,70.14,8.28,0.0,0.7,-0.115,0
3.0,146,-12.33,56.36,29.1,0.353,0.0,0.265,0
3.0,147,-31.1,54.95,2.74,0.0,1.0,0.0,0
3.0,148,-2.4,54.54,29.09,0.365,0.0,-0.11,0
3.0,149,-56.26,43.29,24.7,0.023,0.0,-0.0,0
3.0,150,-63.64,39.88,24.97,0.0,0.153,0.0,0
3.0,151,-44.64,48.68,24.66,0.0,0.7,0.001,0
3.51,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
3.51,145,-11.29,69.12,7.2,0.0,0.7,-0.13,0
3.51,146,-16.36,56.5,29.07,0.372,0.0,0.159,0
3.51,147,-31.04,54.98,0.0,0.0,1.0,0.001,0
3.51,148,-0.0,51.29,29.11,0.352,0.0,-0.124,0
3.51,149,-53.56,44.55,17.97,0.85,0.0,0.0,0
3.51,150,-60.86,41.16,18.61,0.0,0.484,0.0,0
3.51,151,-42.03,49.89,17.12,0.0,0.7,0.0,0
4.01,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
4.01,145,-11.6,67.87,13.48,0.85,0.0,-0.139,0
4.01,146,-20.34,55.71,29.1,0.359,0.0,0.131,0
4.01,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
4.01,148,1.95,47.72,29.1,0.359,0.0,-0.039,0
4.01,149,-51.25,45.61,16.34,0.85,0.0,0.0,0
4.01,150,-58.57,42.23,17.98,0.0,0.7,0.0,0
4.01,151,-40.28,50.7,11.65,0.358,0.0,0.0,0
4.51,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
4.51,145,-12.37,65.67,20.26,0.85,0.0,-0.184,0
4.51,146,-24.12,54.27,29.11,0.354,0.0,0.04,0
4.51,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
4.51,148,3.72,44.08,29.1,0.359,0.0,-0.017,0
4.51,149,-49.23,46.55,14.44,0.85,0.0,0.0,0
4.51,150,-56.52,43.17,15.14,0.0,0.7,-0.0,0
4.51,151,-38.79,51.39,11.84,0.164,0.0,-0.0,0
5.01,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
5.01,145,-13.99,62.64,29.19,0.404,0.0,-0.172,0
5.01,146,-27.81,52.62,29.11,0.358,0.0,0.007,0
5.01,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
5.01,148,5.43,40.42,29.1,0.359,0.0,-0.003,0
5.01,149,-47.41,47.39,13.42,0.85,0.0,0.0,0
5.01,150,-54.69,44.02,13.52,0.0,0.292,0.001,0
5.01,151,-37.3,52.08,11.81,0.0,1.0,0.0,0
5.51,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
5.51,145,-16.47,59.58,25.55,0.85,0.0,-0.161,0
5.51,146,-31.49,50.92,29.1,0.358,0.0,0.001,0
5.51,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
5.51,148,7.13,36.73,29.1,0.359,0.0,-0.001,0
5.51,149,-45.76,48.16,11.98,0.004,0.0,0.0,0
5.51,150,-53.01,44.8,11.96,0.0,0.028,0.0,0
5.51,151,-36.19,52.59,5.12,0.0,1.0,0.0,0
6.01,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
6.01,145,-19.43,57.19,29.01,0.0,0.273,-0.117,0
6.01,146,-35.16,49.22,29.1,0.359,0.0,0.0,0
6.01,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
6.01,148,8.81,33.06,29.1,0.359,0.0,-0.001,0
6.01,149,-44.27,48.85,11.8,0.199,0.0,0.0,0
6.01,150,-51.52,45.49,11.8,0.213,0.0,0.0,0
6.01,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
6.51,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
6.51,145,-22.87,55.2,29.25,0.0,0.12,-0.036,0
6.51,146,-38.84,47.52,29.1,0.359,0.0,0.001,0
6.51,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
6.51,148,10.49,29.36,29.1,0.359,0.0,-0.004,0
6.51,149,-42.77,49.54,11.82,0.179,0.0,0.0,0
6.51,150,-50.02,46.18,11.78,0.217,0.0,-0.0,0
6.51,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
7.02,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
7.02,145,-26.42,53.4,29.32,0.0,0.109,-0.016,0
7.02,146,-42.52,45.81,29.1,0.359,0.0,0.0,0
7.02,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
7.02,148,12.15,25.67,29.1,0.359,0.0,-0.003,0
7.02,149,-41.42,50.17,7.75,0.0,1.0,0.001,0
7.02,150,-48.53,46.88,11.83,0.176,0.0,0.0,0
7.02,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
7.52,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
7.52,145,-29.98,51.68,29.1,0.389,0.0,-0.009,0
7.52,146,-46.2,44.11,29.1,0.359,0.0,-0.0,0
7.52,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
7.52,148,13.8,21.97,29.1,0.359,0.0,-0.001,0
7.52,149,-40.9,50.41,0.0,0.0,1.0,-0.0,0
7.52,150,-47.04,47.57,11.56,0.0,1.0,0.0,0
7.52,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
8.02,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
8.02,145,-33.58,49.98,28.25,0.724,0.0,-0.006,0
8.02,146,-49.87,42.41,29.1,0.359,0.0,0.0,0
8.02,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
8.02,148,15.43,18.26,29.1,0.359,0.0,-0.002,0
8.02,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
8.02,150,-46.02,48.04,4.41,0.0,1.0,-0.001,0
8.02,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
8.52,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
8.52,145,-37.25,48.27,29.01,0.395,0.0,-0.001,0
8.52,146,-53.55,40.71,29.1,0.359,0.0,0.0,0
8.52,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
8.52,148,17.04,14.54,29.1,0.358,0.0,-0.004,0
8.52,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
8.52,150,-45.85,48.11,0.0,0.0,1.0,-0.0,0
8.52,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
9.02,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
9.02,145,-40.91,46.57,29.1,0.36,0.0,-0.0,0
9.02,146,-57.21,39.01,29.1,0.359,0.0,0.0,0
9.02,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
9.02,148,18.62,10.82,29.1,0.359,0.0,-0.008,0
9.02,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
9.02,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
9.02,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
9.52,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
9.52,145,-44.58,44.86,29.1,0.358,0.0,0.0,0
9.52,146,-60.89,37.31,29.1,0.359,0.0,0.0,0
9.52,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
9.52,148,20.15,7.08,29.1,0.359,0.0,-0.012,0
9.52,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
9.52,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
9.52,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
10.02,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
10.02,145,-48.26,43.15,29.1,0.358,0.0,0.0,0
10.02,146,-64.57,35.6,29.1,0.359,0.0,0.0,0
10.02,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
10.02,148,21.66,3.31,29.1,0.359,0.0,-0.002,0
10.02,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
10.02,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
10.02,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
10.52,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
10.52,145,-51.94,41.45,29.1,0.359,0.0,0.0,0
10.52,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
10.52,148,23.14,-0.47,29.1,0.359,0.0,-0.001,0
10.52,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
10.52,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
10.52,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
11.02,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
11.02,145,-55.62,39.75,29.1,0.359,0.0,0.0,0
11.02,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
11.02,148,24.61,-4.24,29.1,0.359,0.0,-0.001,0
11.02,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
11.02,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
11.02,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
11.52,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
11.52,145,-59.3,38.04,29.1,0.359,0.0,-0.0,0
11.52,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
11.52,148,26.07,-8.02,29.1,0.358,0.0,-0.005,0
11.52,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
11.52,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
11.52,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
12.03,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
12.03,145,-62.97,36.34,29.1,0.359,0.0,0.0,0
12.03,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
12.03,148,27.5,-11.81,29.11,0.354,0.0,-0.002,0
12.03,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
12.03,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
12.03,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
12.53,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
12.53,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
12.53,148,28.92,-15.61,29.11,0.357,0.0,-0.001,0
12.53,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
12.53,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
12.53,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
13.03,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
13.03,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
13.03,148,30.34,-19.41,29.1,0.358,0.0,-0.001,0
13.03,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
13.03,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
13.03,151,-35.97,52.69,0.0,0.0,1.0,0.0,0
13.53,144,-26.06,57.24,0.0,0.0,0.0,0.0,0
13.53,147,-31.04,54.98,0.0,0.0,1.0,0.0,0
13.53,148,31.75,-23.2,29.1,0.358,0.0,0.0,0
13.53,149,-40.9,50.41,0.0,0.0,1.0,-0.001,0
13.53,150,-45.85,48.11,0.0,0.0,1.0,0.0,0
