timestamp,v_id,x,y,speed_kmh,throttle,brake,steer,collision
0.5,211,-30.29,99.46,10.06,0.75,0.0,0.002,0
0.5,212,-15.44,58.16,0.05,0.0,0.05,-0.226,0
0.5,213,-16.38,78.0,13.31,0.85,0.0,-0.125,0
0.5,214,-4.3,79.89,6.49,0.0,0.3,0.08,0
0.5,215,-26.2,88.47,6.51,0.0,0.3,0.194,0
0.5,216,-33.78,110.29,1.12,0.0,0.3,-0.001,0
0.5,217,-37.58,122.07,0.01,0.0,0.006,-0.001,1
1.0,211,-29.75,97.8,11.83,0.308,0.0,0.011,0
1.0,212,-15.44,58.16,0.0,0.0,0.001,-0.226,0
1.0,213,-18.88,78.5,23.01,0.85,0.0,-0.15,0
1.0,214,-4.96,79.62,3.73,0.0,0.3,0.065,0
1.0,215,-25.8,87.88,3.77,0.0,0.3,0.16,0
1.0,216,-33.78,110.29,0.4,0.0,0.3,-0.001,0
1.0,217,-37.58,122.07,0.0,0.0,0.004,-0.001,1
1.5,211,-29.22,96.23,11.96,0.177,0.0,0.007,0
1.5,212,-15.44,58.16,0.0,0.0,0.0,-0.226,0
1.5,213,-22.39,79.87,29.7,0.1,0.0,-0.26,0
1.5,214,-5.28,79.49,0.0,0.0,0.007,0.059,0
1.5,215,-25.6,87.6,0.0,0.0,0.064,0.145,0
1.5,216,-33.78,110.29,0.12,0.0,0.128,-0.001,0
1.5,217,-37.58,122.07,0.0,0.0,0.003,-0.001,1
2.0,211,-28.67,94.66,11.95,0.183,0.0,0.02,0
2.0,212,-15.44,58.16,0.0,0.0,0.0,-0.226,0
2.0,213,-25.61,82.28,29.23,0.31,0.0,-0.152,0
2.0,214,-5.28,79.49,0.0,0.0,0.0,0.059,0
2.0,215,-25.6,87.6,0.0,0.0,0.0,0.145,0
2.0,216,-33.78,110.29,0.03,0.0,0.033,-0.001,0
2.0,217,-37.58,122.07,0.0,0.0,0.0,-0.001,1
2.51,211,-28.07,93.1,11.95,0.183,0.0,0.039,0
